image_id,pa_deg,fl_mm,mt_mm,ok,note
im_01_arch,29.896811991199208,38.27150106084591,15.174696597117308,True,
im_02_arch,13.90413775454104,40.450469894081536,9.53020749721112,True,
im_03_arch,22.64800915429536,49.01587569667141,17.241563423170398,True,
im_04_arch,17.698023380510765,61.30715998455517,16.859290549678953,True,
im_05_arch,20.434126412147542,65.82712147359236,21.14944402129683,True,
im_06_arch,12.32741043171881,86.41300438267442,18.779274853464813,True,
im_07_arch,15.470883917692266,51.19148730169999,13.64094925521938,True,
im_08_arch,22.150350865890516,64.56287649148584,24.427471770311268,True,
im_09_arch,10.286920851208416,72.94428870718043,15.501691887839646,True,
im_10_arch,21.290179872698637,53.02658944292019,20.330951329161216,True,
im_11_arch,15.425275605716102,47.39607808213343,12.385351933667055,True,
im_12_arch,13.766860801186125,64.16200914463585,16.549867916471104,True,
im_13_arch,12.721002973346032,71.89853519475214,17.845051747647727,True,
im_14_arch,22.59721357870873,61.151070419007745,21.58957784088179,True,
im_15_arch,,,17.230823459552504,False,no usable fascicle fragments
im_16_arch,12.873413674171523,49.711101831126484,12.22744767805006,True,
im_17_arch,15.786809542782898,78.14871547577894,20.28323139907208,True,
im_18_arch,18.60142450291272,73.89579471874731,21.61531986030061,True,
im_19_arch,15.789750133250733,72.55538822799545,20.19997743549526,True,
im_20_arch,16.54978450149605,34.06002818375843,9.84493204080679,True,
im_21_arch,16.19784824237107,71.88505636891233,16.78329083441577,True,
im_22_arch,14.625600211365631,75.33304595667491,20.370813874679808,True,
im_23_arch,17.03583234102439,54.022211252671,14.807439117765291,True,
im_24_arch,17.310827256141923,53.4232425027475,14.63117899365472,True,
im_25_arch,18.735121480707882,63.147347884990445,19.969051171943427,True,
im_26_arch,17.937613026074025,70.77346706853905,22.80389206753509,True,
im_27_arch,19.670436164752505,60.53593468371746,16.265989710597818,True,
im_28_arch,14.743763310278702,67.91086201484714,17.982431520990634,True,
im_29_arch,21.07218325465484,64.46858067773954,19.828546734812814,True,
im_30_arch,18.371636690111657,62.609822563019534,20.18536035665525,True,
im_31_arch,15.960767751642674,60.36103263296836,14.565248258477828,True,
im_32_arch,12.007772641845001,68.28684743211082,14.935464990189105,True,
im_33_arch,14.962199315716491,51.49545917277944,12.70843305311294,True,
im_34_arch,22.909685613682967,47.61151321830198,17.17267331965333,True,
im_35_arch,19.471525642514532,58.3870798906204,18.039632314589284,True,
