image_id,pa_deg,fl_mm,mt_mm,ok,note
im_01_arch,25.269203554971675,38.53542528493267,15.174696597117308,True,
im_02_arch,14.521801002267889,38.47738220353814,9.53020749721112,True,
im_03_arch,22.1907655023722,49.872791604028464,17.241563423170398,True,
im_04_arch,17.67937629712912,61.1982980832229,16.859290549678953,True,
im_05_arch,19.842560845618102,65.49507515115457,21.14944402129683,True,
im_06_arch,12.008815733243052,87.61030897580679,18.779274853464813,True,
im_07_arch,16.090857458876947,50.51780468231919,13.64094925521938,True,
im_08_arch,20.819342260763705,67.54772698270844,24.427471770311268,True,
im_09_arch,11.549957315069577,66.07591341556673,15.501691887839646,True,
im_10_arch,21.424777061146802,53.758543789441454,20.330951329161216,True,
im_11_arch,14.843389046359858,48.40700425954365,12.385351933667055,True,
im_12_arch,13.576052449021454,65.91244722821644,16.549867916471104,True,
im_13_arch,13.627509380733596,71.11614446752031,17.845051747647727,True,
im_14_arch,21.023685284049147,64.23801500293315,21.58957784088179,True,
im_15_arch,,,17.230823459552504,False,no usable fascicle fragments
im_16_arch,15.614517648787636,45.91993356721132,12.22744767805006,True,
im_17_arch,17.310961560400127,72.47838053272051,20.28323139907208,True,
im_18_arch,18.340690818118283,71.55761077948614,21.61531986030061,True,
im_19_arch,15.82317824729484,72.92070669153676,20.19997743549526,True,
im_20_arch,16.20095064124517,35.908476896793246,9.84493204080679,True,
im_21_arch,15.863041111132816,71.94993880784834,16.78329083441577,True,
im_22_arch,15.020705827393439,69.44145946800856,20.370813874679808,True,
im_23_arch,16.841153332742287,54.87506281407926,14.807439117765291,True,
im_24_arch,17.275204079611775,53.027840168027694,14.63117899365472,True,
im_25_arch,18.24598477978567,65.3720894223107,19.969051171943427,True,
im_26_arch,16.704638913913538,73.41662474632754,22.80389206753509,True,
im_27_arch,20.361887480282924,58.31466083571546,16.265989710597818,True,
im_28_arch,14.489809069796134,69.17685328199644,17.982431520990634,True,
im_29_arch,23.31038047353873,62.33537998716953,19.828546734812814,True,
im_30_arch,18.903443533429712,62.27997039945706,20.18536035665525,True,
im_31_arch,15.989132966754505,55.8733259302367,14.565248258477828,True,
im_32_arch,13.432863357354133,65.27334248787781,14.935464990189105,True,
im_33_arch,14.751200745175021,55.007681320966064,12.70843305311294,True,
im_34_arch,23.087260512200036,50.50480732660668,17.17267331965333,True,
im_35_arch,19.645023772964667,55.97367606785033,18.039632314589284,True,
