image_id,pa_deg,fl_mm,pa_measured,fl_measured,mt_mm,mt_measured,mt_raw,measured_scale,ok,flipped
IMG_00001.tif,15.71673384584916,98.39384489898868,True,True,25.31411394191535,True,25.31411394191535,True,True,False
IMG_00002.tif,9.206552503313947,102.89924312946522,True,True,18.047068001889958,True,18.047068001889958,True,True,False
IMG_00003.tif,13.417400363194279,99.07155467951802,True,True,23.23678911654914,True,23.23678911654914,True,True,True
IMG_00004.tif,12.277365367959346,100.54672475942749,True,True,26.79277963590445,True,26.79277963590445,True,True,True
IMG_00005.tif,18.993585443072046,89.53856056134637,True,True,28.162262450184556,True,28.162262450184556,True,True,False
IMG_00006.tif,19.420169699437082,96.10812210957533,True,True,34.05798800043139,True,34.05798800043139,True,True,False
IMG_00007.tif,18.924066416362717,87.98433935830455,True,True,28.794631993554166,True,28.794631993554166,True,True,True
IMG_00008.tif,18.37521738448173,90.94965515034224,True,True,29.64392698554886,True,29.64392698554886,True,True,True
IMG_00009.tif,8.467238597781634,99.37615434154728,True,True,18.209789293341125,True,18.209789293341125,True,True,True
IMG_00010.tif,14.254309908714891,80.3538868357507,True,True,19.422583054543708,True,19.422583054543708,True,True,True
IMG_00011.tif,13.22575914008336,73.98441014854797,True,True,18.176766869469688,True,18.176766869469688,True,True,True
IMG_00012.tif,13.814782844471061,78.76397199345455,True,True,19.96063492341335,True,19.96063492341335,True,True,True
IMG_00013.tif,9.271401279008703,89.0049229136517,True,True,15.887965552007858,True,15.887965552007858,True,True,False
IMG_00014.tif,11.274164606342811,178.27316626557996,True,True,20.7,False,44.515123346986094,True,True,True
IMG_00015.tif,12.359886674198378,82.34933007187874,True,True,19.775443555832837,True,19.775443555832837,True,True,False
IMG_00016.tif,17.0235015169303,88.73287244741884,True,True,26.425472593821166,True,26.425472593821166,True,True,False
IMG_00017.tif,16.14510431872924,85.8543534335153,True,True,22.80767730825979,True,22.80767730825979,True,True,False
IMG_00018.tif,15.254255093831784,90.2622832897546,True,True,25.171619173837232,True,25.171619173837232,True,True,False
IMG_00019.tif,14.473521292426346,93.97369244423493,True,True,25.7496803590082,True,25.7496803590082,True,True,False
IMG_00020.tif,10.797790934485842,100.17418225706291,True,True,18.772072397489552,True,18.772072397489552,True,True,False
IMG_00021.tif,7.730940724721386,99.10303794220087,True,True,17.61180498654543,True,17.61180498654543,True,True,True
IMG_00022.tif,17.533434232689434,84.81013885101433,True,True,23.6152827760803,True,23.6152827760803,True,True,False
IMG_00023.tif,13.869545805759357,91.90345185251425,True,True,22.901415929596077,True,22.901415929596077,True,True,True
IMG_00024.tif,16.87902732801068,96.76692288133698,True,True,26.881257375923184,True,26.881257375923184,True,True,True
IMG_00025.tif,10.388880863260736,114.15929145271045,True,True,24.480843834263695,True,24.480843834263695,True,True,True
IMG_00026.tif,14.233374927319039,99.5935129274879,True,True,26.429598501676594,True,26.429598501676594,True,True,True
IMG_00027.tif,14.66143671756612,87.14686188468767,True,True,22.010873835778614,True,22.010873835778614,True,True,True
IMG_00028.tif,12.558320791729727,91.50723114008312,True,True,22.229684697775053,True,22.229684697775053,True,True,True
IMG_00029.tif,13.893347875965876,93.68287112566227,True,True,23.12531472736652,True,23.12531472736652,True,True,True
IMG_00030.tif,7.874660722171636,106.62366028623387,True,True,17.07197097990231,True,17.07197097990231,True,True,False
IMG_00031.tif,8.723385270270409,90.16767288256378,True,True,16.66497310982305,True,16.66497310982305,True,True,True
IMG_00032.tif,13.668398877976722,109.64933718058913,True,True,27.237843110915264,True,27.237843110915264,True,True,False
IMG_00033.tif,14.642728013841571,117.33046338704838,True,True,31.531735465965397,True,31.531735465965397,True,True,False
IMG_00034.tif,15.326442819628149,115.13158639355935,True,True,30.843371504605226,True,30.843371504605226,True,True,True
IMG_00035.tif,9.876103146539954,91.09407633378703,True,True,18.320814345552975,True,18.320814345552975,True,True,False
IMG_00036.tif,27.727080564237568,39.85008183046745,True,True,18.5406678285286,True,18.5406678285286,True,True,True
IMG_00037.tif,16.38741034375309,47.77090500752014,True,True,12.787386329647584,True,12.787386329647584,True,True,True
