image_id,pa_deg,fl_mm,mt_mm,ok,note
im_01_arch,29.224649524410975,37.226099195503004,15.174696597117308,True,
im_02_arch,15.848044588651044,37.44486886386047,9.53020749721112,True,
im_03_arch,22.767705372130564,48.71407907486729,17.241563423170398,True,
im_04_arch,18.07423373132026,61.64363834902823,16.859290549678953,True,
im_05_arch,20.454923109836727,64.52330883987236,21.14944402129683,True,
im_06_arch,12.026921429683044,85.35016928474352,18.779274853464813,True,
im_07_arch,15.42892902321,52.90498125078825,13.64094925521938,True,
im_08_arch,22.212587488183416,65.05399071853516,24.427471770311268,True,
im_09_arch,12.506827706423676,65.57557301018039,15.501691887839646,True,
im_10_arch,21.217711249859597,53.17900452859013,20.330951329161216,True,
im_11_arch,15.939426517791174,46.43440484537159,12.385351933667055,True,
im_12_arch,15.88158110192896,59.543423023893595,16.549867916471104,True,
im_13_arch,13.698626336373174,72.21284597104238,17.845051747647727,True,
im_14_arch,25.171701417609228,56.50775663120073,21.58957784088179,True,
im_15_arch,,,17.230823459552504,False,no usable fascicle fragments
im_16_arch,16.266488174640163,47.53217757903501,12.22744767805006,True,
im_17_arch,16.8999967929538,77.90848636312252,20.28323139907208,True,
im_18_arch,18.107595995035773,74.208766026141,21.61531986030061,True,
im_19_arch,16.40791769891222,71.62140872664312,20.19997743549526,True,
im_20_arch,18.585914536490485,34.306976912776825,9.84493204080679,True,
im_21_arch,15.873577471532418,70.38223157476585,16.78329083441577,True,
im_22_arch,14.772013828150975,72.91486186421538,20.370813874679808,True,
im_23_arch,17.28730053352346,55.688608295183236,14.807439117765291,True,
im_24_arch,17.48747431218593,54.24177312332908,14.63117899365472,True,
im_25_arch,18.691058829268393,62.81605629845879,19.969051171943427,True,
im_26_arch,17.44589297451943,74.50007714381287,22.80389206753509,True,
im_27_arch,18.66561541463716,60.86922909980423,16.265989710597818,True,
im_28_arch,15.190734060563535,67.91879015298096,17.982431520990634,True,
im_29_arch,23.279674415826552,61.1037611385545,19.828546734812814,True,
im_30_arch,17.79736163793462,65.3631073148076,20.18536035665525,True,
im_31_arch,16.021598928709174,58.42293724086592,14.565248258477828,True,
im_32_arch,12.498492428264969,66.69618864511447,14.935464990189105,True,
im_33_arch,15.14002405685052,51.925605927864794,12.70843305311294,True,
im_34_arch,24.762385727051466,44.95017419696951,17.17267331965333,True,
im_35_arch,19.605673328735477,58.03486820771348,18.039632314589284,True,
