image_id,pa_deg,fl_mm,pa_measured,fl_measured,mt_mm,mt_measured,mt_raw,measured_scale,ok
IMG_00001.tif,16.06703931693201,97.58076696851231,True,True,25.31411394191535,True,25.31411394191535,True,True
IMG_00002.tif,8.978009759953224,104.29736073853005,True,True,18.047068001889958,True,18.047068001889958,True,True
IMG_00003.tif,13.027758029717397,99.89278098746632,True,True,23.113379745654477,True,23.113379745654477,True,True
IMG_00004.tif,12.665231617030948,102.50127573916734,True,True,26.661576993320757,True,26.661576993320757,True,True
IMG_00005.tif,18.947688938649843,89.15749340635168,True,True,28.162262450184556,True,28.162262450184556,True,True
IMG_00006.tif,19.94991506168969,96.79790157669397,True,True,34.05798800043139,True,34.05798800043139,True,True
IMG_00007.tif,19.04559652347607,88.92728456714408,True,True,28.559384850628724,True,28.559384850628724,True,True
IMG_00008.tif,17.835843982384127,92.78112945282317,True,True,29.532045483805035,True,29.532045483805035,True,True
IMG_00009.tif,8.401711294480739,98.92616864052337,True,True,18.15851969915566,True,18.15851969915566,True,True
IMG_00010.tif,13.662209469435805,82.28606299013462,True,True,19.499823522019117,True,19.499823522019117,True,True
IMG_00011.tif,13.294132226570595,74.48842852126066,True,True,18.197780956457677,True,18.197780956457677,True,True
IMG_00012.tif,13.065681135592861,80.33678385152962,True,True,19.97541258626293,True,19.97541258626293,True,True
IMG_00013.tif,9.104261153065739,90.7089550363621,True,True,15.887965552007858,True,15.887965552007858,True,True
IMG_00014.tif,11.246515483260573,169.91330445892186,True,True,20.7,False,44.984779577952594,True,True
IMG_00015.tif,11.810604800192323,84.12820893805593,True,True,19.775443555832837,True,19.775443555832837,True,True
IMG_00016.tif,17.41067545991628,87.44870402054872,True,True,26.425472593821166,True,26.425472593821166,True,True
IMG_00017.tif,16.096792906568645,86.90500531011584,True,True,22.80767730825979,True,22.80767730825979,True,True
IMG_00018.tif,15.41495496491958,90.04776405931966,True,True,25.171619173837232,True,25.171619173837232,True,True
IMG_00019.tif,14.733280028343012,93.96476993028972,True,True,25.7496803590082,True,25.7496803590082,True,True
IMG_00020.tif,10.557994579086653,102.44229361165588,True,True,18.772072397489552,True,18.772072397489552,True,True
IMG_00021.tif,9.192470719483515,100.28532626129868,True,True,18.743304856703652,True,18.743304856703652,True,True
IMG_00022.tif,17.981714755577983,84.83665236472164,True,True,23.6152827760803,True,23.6152827760803,True,True
IMG_00023.tif,17.47623459073558,108.67665801557305,True,True,22.95380209559322,True,22.95380209559322,True,True
IMG_00024.tif,17.291059645637738,96.17741254815397,True,True,26.87792964334839,True,26.87792964334839,True,True
