image_id,h,w,mask_h,mask_w,stretch,in_val,pa_host,n_host,note_host,pa_dltrack,mt_px,pa_ours,n_ours
image_0003,800,1200,556,996,0.8373493975903615,True,21.437867213261704,12,blend,21.67539951515522,295.6957275927493,21.616412166607745,14
image_0047,800,1200,556,996,0.8373493975903615,True,21.29283974649082,21,blend,21.491588951888666,289.99669375598904,21.551224956340004,20
image_0064,800,1200,556,996,0.8373493975903615,True,22.581661183797202,18,blend,22.588409625279564,285.6609402569857,22.45098645827093,17
image_0073,800,1200,556,996,0.8373493975903615,True,21.7713329500427,23,blend,21.742313829360324,293.4120032962593,21.934194078018674,19
image_0081,800,1200,556,996,0.8373493975903615,True,21.83756399772449,20,blend,21.845276120523287,294.2553573709677,21.804154502930242,23
image_0098,800,1200,556,996,0.8373493975903615,True,24.415157795268662,21,blend,24.504801733150206,289.67076182891384,25.309642061708107,19
image_0124,800,1200,556,996,0.8373493975903615,True,20.86107671241829,24,blend,20.797620651259816,293.9009450321597,21.49686794126728,23
image_0134,800,1200,556,996,0.8373493975903615,True,20.075164134952498,17,blend,20.361186820120913,295.1897339460523,20.214625180624225,18
image_0150,800,1200,556,996,0.8373493975903615,True,21.06376131380169,18,blend,20.883219267422813,292.84373881222785,21.791272991345796,19
image_0153,800,1200,556,996,0.8373493975903615,True,22.759632060294592,19,blend,21.70714557909689,292.09719026330407,21.25812137057056,20
image_0174,800,1200,556,996,0.8373493975903615,True,22.36958275000601,10,blend,22.134096164047364,288.05357668233444,23.77820823105867,14
image_0179,800,1200,556,996,0.8373493975903615,True,24.511943085606042,12,blend,24.57822093355993,268.3097289443593,25.382471916871552,12
image_0180,800,1200,556,996,0.8373493975903615,True,,0,no usable fascicle fragments,,254.91442272022687,,0
image_0186,800,1200,556,996,0.8373493975903615,True,25.448955413406654,13,blend,25.49404318727835,277.60219002231105,25.318644197280726,13
image_0190,800,1200,556,996,0.8373493975903615,True,,0,no usable fascicle fragments,,249.2323058071259,,0
image_0193,800,1200,556,996,0.8373493975903615,True,21.59675627143816,12,blend,21.750998164684162,284.7397153158352,22.00125176151102,13
image_0198,800,1200,556,996,0.8373493975903615,True,20.240926055244643,20,blend,20.413035121186002,293.55384078993853,21.739670440341033,21
image_0199,800,1200,556,996,0.8373493975903615,True,20.96686445046604,17,blend,20.886235617428678,294.2535794218993,21.796196592672583,21
image_0208,800,1200,556,996,0.8373493975903615,True,19.943972351654995,19,blend,20.12916205507438,297.54882381976813,20.26087563270788,18
image_0216,800,1200,556,996,0.8373493975903615,True,22.73696889525198,15,blend,22.682118789894357,292.44977873949193,23.27164033565743,14
image_0217,800,1200,556,996,0.8373493975903615,True,21.645782400738028,14,blend,21.975172621015115,292.2990319799887,22.7122107717334,13
image_0223,800,1200,556,996,0.8373493975903615,True,22.054635499786006,19,blend,22.095202488741183,295.84561485402986,22.337809920022124,17
image_0244,800,1200,556,996,0.8373493975903615,True,23.875238738271957,15,blend,23.773976951899638,295.5560410089555,22.321739620234766,16
