Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15590127,PatrickAIForFun,"2026-09-14 12:08:30",0.28263,37,patrickaiforfun
2,16220144,LuPW,"2026-08-05 04:48:49",0.29358,252,patrykwolny
3,15937934,suguuuuu,"2026-08-04 13:10:16",0.31898,329,sugupoko
4,16675357,"Vaibhav Patel","2026-09-08 13:51:54",0.33358,55,vaibhavpatel
5,16429640,"Homin Park","2026-09-15 00:04:19",0.34075,338,powersimmani
6,16779061,HMT,"2026-09-09 11:59:15",0.34218,38,foryolotrain1
7,16678994,william,"2026-08-10 14:26:11",0.35134,17,hiricodev
8,16693535,"Dread Development","2026-09-15 00:01:03",0.35979,154,"dreaddevelopment,seanornberg"
9,16621100,"Menelik Zafir","2026-09-14 15:28:39",0.36458,107,monibeefudgekins
10,16833614,"Luis Angel Sánchez Marín","2026-09-14 11:39:28",0.36681,40,luisangelsnchezmarn
11,15529716,test_umud,"2026-09-04 00:15:09",0.37349,414,michaelsemenoff
12,16778277,easonyanyan,"2026-09-14 04:14:36",0.38043,92,easonyanyan
13,16777368,chocolat,"2026-09-04 05:50:21",0.38361,15,chocolatnya999
14,15703601,AT0641,"2026-07-03 14:18:50",0.38366,170,"at0641,spiritlilly"
15,16833124,LKonrad,"2026-09-13 14:40:42",0.39711,21,lkonrad
16,16113481,"Misha Shikhov","2026-09-15 09:17:30",0.39798,45,mishashikhov
17,16602345,SCLim2022080004,"2026-09-07 00:46:16",0.39853,50,sclim2022080004
18,16794247,Thalles.Mota,"2026-09-09 12:44:19",0.40067,47,thallesmota
19,16823125,"tudonovo tudono","2026-09-09 14:05:17",0.40227,17,tudonovotudono
20,16848619,"BioMS Tec","2026-09-08 15:17:44",0.40364,3,biomstec
21,16756301,"Andrey Chankin","2026-09-09 00:21:17",0.41201,52,bluepill
22,16808702,"Mingrui Li","2026-09-03 12:40:08",0.42146,1,mingruili1
23,16868809,"Emre Atilgan","2026-09-15 00:02:35",0.42168,30,emreatilgan
24,16793273,"Benadict Infant A","2026-09-15 11:50:18",0.42493,33,benadictinfanta
25,16862826,"Electric Weasle","2026-09-13 15:42:51",0.42958,8,electricweasle
26,15800812,Yufo,"2026-07-16 20:13:51",0.43061,195,yufotest
27,15997300,"Santiago Maniches","2026-09-14 15:27:17",0.43556,54,santmani
28,15533619,CuteClaw,"2026-09-02 18:23:13",0.43978,50,bloodmoonwq
