image_id,px_per_cm,pa_deg_true,fl_mm_true,mt_mm_true,pa_deg_orig,fl_mm_orig,mt_mm_orig,ang_med_orig,n_comp_orig,frac_band_orig,pa_deg_flip,fl_mm_flip,mt_mm_flip,ang_med_flip,n_comp_flip,frac_band_flip
im_01_arch,77.0,27.487619047619045,35.711966604935064,14.861781076734692,28.48947206396071,37.008699472105214,15.174696597117308,-17.064693230783895,16,0.05473751600512164,23.78085910314859,41.375284323099834,12.409687040441854,14.565835791875791,18,0.04760765550239234
im_02_arch,77.0,16.07957142857143,74.70148422988868,21.538089053988877,15.979673415246696,36.10705557020036,9.53020749721112,-8.206750751295665,28,0.1507820136852395,16.251291085647008,65.41792281322422,21.860902730727148,7.383547549734322,29,0.11329298652244828
im_03_arch,77.0,23.80866666666667,44.371150278812614,16.74379097048857,25.056004572982694,45.77358017986795,17.241563423170398,-14.199763970213823,21,0.07243867243867244,20.326409529380047,43.13843648858135,15.35129068348942,13.57654101531307,22,0.08469612324360928
im_04_arch,126.0,19.396761904761906,61.317267573219944,16.60306500425548,18.761254492676144,60.81940475389302,16.859290549678953,-11.242274848830329,22,0.06746566578520856,18.66005266847384,61.12976432450587,17.008151021080387,11.567241990745659,22,0.06824415454885471
im_05_arch,77.0,24.281047619047623,71.82484848438466,20.8842547930303,21.353472156542445,60.6467618108556,21.14944402129683,-12.776105599860912,22,0.05182910182910183,19.87855923770807,64.7597689558474,21.20298961452602,10.26411987471209,25,0.06362968896008543
im_06_arch,74.0,14.24709523809524,81.57555341036036,18.712078506576578,10.558048465525665,102.45768101433998,18.779274853464813,-11.767228116200348,14,0.07942394578313253,10.988485976936621,91.22173578836274,19.091207377394642,11.25305381176512,14,0.08321100917431193
im_07_arch,85.0,16.52466666666667,46.17257142831933,13.541725490616255,15.741051005727275,49.935174275951866,13.64094925521938,-14.130429954397234,21,0.031907301682692304,15.72843724187869,50.245254167883616,13.784790270418487,14.375096087082522,22,0.044252748842592594
im_08_arch,89.0,23.02914285714286,63.253900481605136,24.358314606308188,21.051071054242648,68.2022220711063,24.427471770311268,-19.465715729111,25,0.09673306772908366,21.169462056765223,65.27765937049975,24.38033871320449,19.294065917125554,25,0.10236660079051384
im_09_arch,94.0,15.231285714285717,56.38369300924012,15.497831813789249,13.082325693392042,61.52178653817677,15.501691887839646,-8.857959505124581,16,0.12368421052631579,10.838571572995884,74.89127947034865,15.45573641743222,6.094344929717876,14,0.07082228116710876
im_10_arch,112.0,24.390190476190476,50.179409013605444,20.1561224489796,22.840827238922536,51.07180147883608,20.330951329161216,-21.55472151363173,17,0.24005,20.261878871686918,55.7879030862147,20.288837719124263,20.663292553294294,19,0.2618273092369478
im_11_arch,77.0,14.863666666666669,50.554808287006814,12.359907235936927,15.75664399963653,45.84622350154483,12.385351933667055,-7.313401953416369,8,0.08741033523642219,15.999299824506947,43.66932301069426,11.901407570521247,8.6440513708887,12,0.10824524312896405
im_12_arch,89.0,17.38052380952381,67.48514178682717,16.470390582910657,13.74543387410828,66.98907436940168,16.549867916471104,-6.409205468656762,26,0.16887742718446602,12.971032671396795,69.73570539094743,16.28623540717911,7.99761271582106,25,0.15756550218340612
im_13_arch,89.0,13.733666666666668,67.67349384643124,17.71453718583734,15.137654024052956,67.30347886823975,17.845051747647727,-12.146821310415149,24,0.10238057324840764,15.0040437651299,65.85742508506956,17.800956674351493,11.460792990792669,19,0.0919
im_14_arch,77.0,23.626809523809523,54.0052319109462,21.36098948690786,24.121565176189385,56.608029414786984,21.58957784088179,-14.629092830318815,16,0.05398886827458256,22.898212840077793,60.501754226731144,21.8273570080043,15.196397239903217,13,0.04886209029066172
im_15_arch,126.0,17.19461904761905,59.5659410436508,16.054195010907033,,,17.230823459552504,-12.635968415653618,16,0.0534627463903105,16.08066615270814,62.52238607001308,16.385558356840534,11.670684536354447,18,0.0892546364685689
im_16_arch,77.0,14.795238095238096,49.514403216481135,12.084935065250459,13.887777285223995,50.09902235754509,12.22744767805006,-5.391609352728215,10,0.11199569661108123,10.789383640444068,60.74249991961592,12.094481938883192,1.6108376765564778,14,0.0984069668649108
im_17_arch,77.0,17.18542857142857,69.30585652453927,20.124279529993828,17.393408101946797,70.38841038624356,20.28323139907208,-10.484685579732739,25,0.06767676767676768,17.190851802172077,70.51376107300366,20.340941805729166,11.025599941779458,24,0.04330455391907906
im_18_arch,126.0,19.602166666666665,68.81871913545855,21.46139329850971,18.534643554149984,72.70969851504671,21.61531986030061,-13.045497472928124,29,0.0662449859678815,17.571994568438615,72.95485358056308,21.25736120951444,12.51765809664078,27,0.052202274897468634
im_19_arch,112.0,16.017277777777778,68.74328125023808,30.027802579365083,16.736343665666645,69.73980184521973,20.19997743549526,-14.445935155637345,31,0.08750634517766498,17.01284928845547,69.71178678914356,20.216267989988808,13.658387546626109,31,0.09527849740932642
im_20_arch,77.0,18.196555555555555,65.27404761976192,21.670021645303034,19.69101119773084,30.88192184714872,9.84493204080679,-9.779022618271904,31,0.13291903409090908,,,4.343724231035721,8.879253340634522,24,0.15164842873176207
im_21_arch,77.0,16.36438888888889,70.22052669541847,16.447445886839837,15.502953900006187,69.90212864216355,16.78329083441577,-9.709174072993642,16,0.05280675608544461,15.891651220400448,68.52963497104358,16.8787287334621,9.338506085164463,14,0.05928891184573003
im_22_arch,89.0,17.363722222222222,73.51382022458802,20.126429463077397,14.535782086094782,75.15827912934836,20.370813874679808,-14.358989234255358,18,0.09404850746268657,14.774802762763095,71.86689745797275,20.318055313259894,14.992313376654229,15,0.09311704834605598
im_23_arch,77.0,16.605833333333333,55.67121212140692,14.764285715086574,17.34793449578892,54.94023406619304,14.807439117765291,-8.026540711167533,24,0.05228324915824916,18.675824050223483,84.70629011228498,30.578573156277013,8.973421871318312,23,0.0731000481000481
im_24_arch,77.0,16.597666666666665,55.91611111039683,14.844523810324683,16.93726334311056,52.38205813692299,14.63117899365472,-7.823541027163326,16,0.05347866419294991,11.565557929080585,65.14696081021238,16.66185683384743,8.258259642390044,14,0.06194125159642401
im_25_arch,89.0,17.859888888888886,57.998133582665425,19.53791510686641,19.829058903563954,62.0497087092932,19.969051171943427,-16.464870283127873,20,0.10544939577039275,19.64773924941191,62.04344342101801,19.87833614800525,16.06844050954697,15,0.10807432432432433
im_26_arch,89.0,18.414166666666663,64.11328183460675,22.847078652397006,17.62401306620668,72.43672143840202,22.80389206753509,-18.324050750909226,24,0.09288165266106442,18.081418472797502,70.33653934645906,22.8921371298389,17.63634966918814,23,0.10036784741144414
im_27_arch,77.0,17.629055555555553,66.42531024511543,16.454848484242433,20.00502849670698,58.7609067748502,16.265989710597818,-8.229974568430576,16,0.09877883310719132,,,,8.890939251407644,14,0.10211323763955343
im_28_arch,112.0,14.782777777777776,66.58127976238093,17.72562500047619,15.055459778902783,66.73693308996738,17.982431520990634,-15.766252931043237,26,0.09020833333333333,14.342931485070158,70.49536695924809,18.135070881724147,15.788164162733608,27,0.09272264631043257
im_29_arch,77.0,20.359833333333334,75.30166666744589,20.761594516594517,23.579847076548326,56.330588208206734,19.828546734812814,-7.79313687451519,24,0.1189486703772418,20.666290025183287,53.04460255314464,15.8209463881569,8.469736739952769,21,0.1284426543920215
im_30_arch,89.0,21.05461111111111,57.13619226014358,19.907684145099882,19.036808645474963,62.13491477359183,20.18536035665525,-16.892238354700297,16,0.06452493261455526,18.605994494853412,61.83253049150476,20.27856481855632,16.370625757978193,14,0.11761046511627907
im_31_arch,77.0,15.358222222222222,58.548470418448765,14.596269842027409,15.15010187432109,61.75424666021233,14.565248258477828,-7.689506628165554,15,0.06836806604248465,15.38720832121732,59.76260884062658,15.857462617743519,7.308382671325343,18,0.08542258522727272
im_32_arch,126.0,14.691222222222223,62.02304232791004,14.706141975097012,13.53694710802044,62.76005854311366,14.935464990189105,-11.37526308628639,19,0.07702347698856078,13.016347389339096,66.47370536205506,15.186423849603397,11.45234600473866,17,0.03602415120889878
im_33_arch,77.0,15.16977777777778,52.74053391120492,12.691536796991334,14.873875969380821,48.61117734890485,12.70843305311294,-3.6070879133524567,17,0.11764127764127764,15.125831147216395,50.370077230558195,12.44692688072212,4.085591353514675,17,0.1362405303030303
im_34_arch,77.0,23.307333333333332,46.57240259718615,17.126356420772012,24.96843950035526,44.54090310759482,17.17267331965333,-14.227698564472504,20,0.060457029309488326,20.69014695916408,43.45913888440235,14.689690835007921,12.128157470161304,23,0.07759994309290084
