image_id,pa_deg,fl_mm,mt_mm
IMG_00001.tif,16.0670,81.5000,20.7000
IMG_00002.tif,8.9780,81.5000,20.7000
IMG_00003.tif,13.0278,81.5000,20.7000
IMG_00004.tif,12.6652,81.5000,20.7000
IMG_00005.tif,18.9477,81.5000,20.7000
IMG_00006.tif,19.9499,81.5000,20.7000
IMG_00007.tif,19.0456,81.5000,20.7000
IMG_00008.tif,17.8358,81.5000,20.7000
IMG_00009.tif,8.4017,81.5000,20.7000
IMG_00010.tif,13.6622,81.5000,20.7000
IMG_00011.tif,13.2941,81.5000,20.7000
IMG_00012.tif,13.0657,81.5000,20.7000
IMG_00013.tif,16.4200,81.5000,20.7000
IMG_00014.tif,11.2465,81.5000,20.7000
IMG_00015.tif,11.8106,81.5000,20.7000
IMG_00016.tif,17.4107,81.5000,20.7000
IMG_00017.tif,16.0968,81.5000,20.7000
IMG_00018.tif,15.4150,81.5000,20.7000
IMG_00019.tif,14.7333,81.5000,20.7000
IMG_00020.tif,10.5580,81.5000,20.7000
IMG_00021.tif,9.1925,81.5000,20.7000
IMG_00022.tif,17.9817,81.5000,20.7000
IMG_00023.tif,17.4762,81.5000,20.7000
IMG_00024.tif,17.2911,81.5000,20.7000
IMG_00025.tif,10.7083,81.5000,20.7000
IMG_00026.tif,15.4861,81.5000,20.7000
IMG_00027.tif,14.2762,81.5000,20.7000
IMG_00028.tif,12.7442,81.5000,20.7000
IMG_00029.tif,14.0730,81.5000,20.7000
IMG_00030.tif,8.4500,81.5000,20.7000
IMG_00031.tif,8.6465,81.5000,20.7000
IMG_00032.tif,14.3398,81.5000,20.7000
IMG_00033.tif,14.6405,81.5000,20.7000
IMG_00034.tif,15.4585,81.5000,20.7000
IMG_00035.tif,9.6912,81.5000,20.7000
IMG_00036.tif,16.4200,81.5000,20.7000
IMG_00037.tif,16.4200,81.5000,20.7000
IMG_00038.tif,16.4200,81.5000,20.7000
IMG_00039.tif,16.4200,81.5000,20.7000
IMG_00040.tif,16.4200,81.5000,20.7000
IMG_00041.tif,16.4200,81.5000,20.7000
IMG_00042.tif,16.4200,81.5000,20.7000
IMG_00043.tif,16.4200,81.5000,20.7000
IMG_00044.tif,16.4200,81.5000,20.7000
IMG_00045.tif,16.4200,81.5000,20.7000
IMG_00046.tif,16.4200,81.5000,20.7000
IMG_00047.tif,16.4200,81.5000,20.7000
IMG_00048.tif,16.4200,81.5000,20.7000
IMG_00049.tif,16.4200,81.5000,20.7000
IMG_00050.tif,16.4200,81.5000,20.7000
IMG_00051.tif,16.4200,81.5000,20.7000
IMG_00052.tif,16.4200,81.5000,20.7000
IMG_00053.tif,16.4200,81.5000,20.7000
IMG_00054.tif,16.4200,81.5000,20.7000
IMG_00055.tif,16.4200,81.5000,20.7000
IMG_00056.tif,16.4200,81.5000,20.7000
IMG_00057.tif,16.4200,81.5000,20.7000
IMG_00058.tif,16.4200,81.5000,20.7000
IMG_00059.tif,16.4200,81.5000,20.7000
IMG_00060.tif,16.4200,81.5000,20.7000
IMG_00061.tif,16.4200,81.5000,20.7000
IMG_00062.tif,16.4200,81.5000,20.7000
IMG_00063.tif,16.4200,81.5000,20.7000
IMG_00064.tif,16.4200,81.5000,20.7000
IMG_00065.tif,16.4200,81.5000,20.7000
IMG_00066.tif,16.4200,81.5000,20.7000
IMG_00067.tif,16.4200,81.5000,20.7000
IMG_00068.tif,16.4200,81.5000,20.7000
IMG_00069.tif,16.4200,81.5000,20.7000
IMG_00070.tif,16.4200,81.5000,20.7000
IMG_00071.tif,16.4200,81.5000,20.7000
IMG_00072.tif,16.4200,81.5000,20.7000
IMG_00073.tif,16.4200,81.5000,20.7000
IMG_00074.tif,16.4200,81.5000,20.7000
IMG_00075.tif,16.4200,81.5000,20.7000
IMG_00076.tif,16.4200,81.5000,20.7000
IMG_00077.tif,16.4200,81.5000,20.7000
IMG_00078.tif,16.4200,81.5000,20.7000
IMG_00079.tif,16.4200,81.5000,20.7000
IMG_00080.tif,16.4200,81.5000,20.7000
IMG_00081.tif,16.4200,81.5000,20.7000
IMG_00082.tif,16.4200,81.5000,20.7000
IMG_00083.tif,16.4200,81.5000,20.7000
IMG_00084.tif,16.4200,81.5000,20.7000
IMG_00085.tif,16.4200,81.5000,20.7000
IMG_00086.tif,16.4200,81.5000,20.7000
IMG_00087.tif,16.4200,81.5000,20.7000
IMG_00088.tif,16.4200,81.5000,20.7000
IMG_00089.tif,16.4200,81.5000,20.7000
IMG_00090.tif,16.4200,81.5000,20.7000
IMG_00091.tif,16.4200,81.5000,20.7000
IMG_00092.tif,16.4200,81.5000,20.7000
IMG_00093.tif,16.4200,81.5000,20.7000
IMG_00094.tif,16.4200,81.5000,20.7000
IMG_00095.tif,16.4200,81.5000,20.7000
IMG_00096.tif,16.4200,81.5000,20.7000
IMG_00097.tif,16.4200,81.5000,20.7000
IMG_00098.tif,16.4200,81.5000,20.7000
IMG_00099.tif,16.4200,81.5000,20.7000
IMG_00100.tif,16.4200,81.5000,20.7000
IMG_00101.tif,16.4200,81.5000,20.7000
IMG_00102.tif,16.4200,81.5000,20.7000
IMG_00103.tif,16.4200,81.5000,20.7000
IMG_00104.tif,16.4200,81.5000,20.7000
IMG_00105.tif,16.4200,81.5000,20.7000
IMG_00106.tif,16.4200,81.5000,20.7000
IMG_00107.tif,16.4200,81.5000,20.7000
IMG_00108.tif,16.4200,81.5000,20.7000
IMG_00109.tif,16.4200,81.5000,20.7000
IMG_00110.tif,16.4200,81.5000,20.7000
IMG_00111.tif,16.4200,81.5000,20.7000
IMG_00112.tif,16.4200,81.5000,20.7000
IMG_00113.tif,16.4200,81.5000,20.7000
IMG_00114.tif,16.4200,81.5000,20.7000
IMG_00115.tif,16.4200,81.5000,20.7000
IMG_00116.tif,16.4200,81.5000,20.7000
IMG_00117.tif,16.4200,81.5000,20.7000
IMG_00118.tif,16.4200,81.5000,20.7000
IMG_00119.tif,16.4200,81.5000,20.7000
IMG_00120.tif,16.4200,81.5000,20.7000
IMG_00121.tif,16.4200,81.5000,20.7000
